label;x;y;Frame;
Art. CostoCorporeal;516.731;475.618;0.000;
Art. CostoTransversaire;466.964;570.917;2.000;
Art. CostoTransversaire;677.681;624.920;4.000;
Art. CostoTransversaire;672.386;623.861;5.000;
Art. CostoTransversaire;470.141;623.861;6.000;
Art. CostoCorporeal;523.085;520.091;5.000;
Art. SternoClaviculaire;502.966;319.963;13.000;
Art. SternoClaviculaire;506.143;322.081;14.000;
Art. SternoClaviculaire;504.025;322.081;15.000;
Art. SternoClaviculaire;494.495;324.199;16.000;
Art. Sternocostale;468.929;289.109;15.000;
Art. Sternocostale;513.551;220.935;21.000;
Art. Sternocostale;525.946;215.977;22.000;
Art. Sternocostale;528.425;194.906;23.000;
