Label;X;Y;Frame;
Disque T1-T2;564.032;491.970;3.000;
Disque T2-T3;582.012;541.917;8.000;
Disque T3-T4;590.004;585.869;13.000;
Disque T4-T5;597.995;595.859;18.000;
Disque T5-T6;608.983;633.818;24.000;
Disque T6-T7;606.985;666.782;30.000;
Disque T7-T8;606.985;666.782;37.000;
Disque T8-T9;606.985;666.782;44.000;
Disque T9-T10;606.985;666.782;51.000;
Disque T10-T11;602.990;652.798;58.000;
Disque T11-T12;602.990;636.815;66.000;
1er Cartilage costal;433.633;322.153;14.000;
1er Cartilage costal;440.933;307.553;15.000;
1er Cartilage costal;448.233;292.954;16.000;
2ème Cartilage costal;484.732;224.335;21.000;
2ème Cartilage costal;492.032;215.575;22.000;
3ème Cartilage costal;464.293;170.316;25.000;
3ème Cartilage costal;483.272;165.936;26.000;
4ème Cartilage costal;480.352;98.778;31.000;
4ème Cartilage costal;451.153;104.618;32.000;
5ème Cartilage costal;484.732;91.478;40.000;
5ème Cartilage costal;487.652;97.318;41.000;
5ème Cartilage costal;490.572;97.318;42.000;
5ème Cartilage costal;490.572;95.858;43.000;
6ème Cartilage costal;475.973;90.018;44.000;
6ème Cartilage costal;464.293;82.718;45.000;
7ème Cartilage costal;492.032;92.938;48.000;
7ème Cartilage costal;492.032;91.478;49.000;
8ème Cartilage costal;537.291;92.938;49.000;
8ème Cartilage costal;531.451;84.178;51.000;
7ème Cartilage costal;474.513;84.178;51.000;
6ème Cartilage costal;397.134;76.878;51.000;
8ème Cartilage costal;522.692;90.018;52.000;
7ème Cartilage costal;474.513;87.098;52.000;
8ème Cartilage costal;524.151;88.558;53.000;
7ème Cartilage costal;473.053;88.558;53.000;
9ème Cartilage costal;554.811;94.398;54.000;
8ème Cartilage costal;513.932;85.638;54.000;
7ème Cartilage costal;462.833;90.018;54.000;
9ème Cartilage costal;550.431;97.318;56.000;
8ème Cartilage costal;509.552;92.938;56.000;
7ème Cartilage costal;448.233;90.018;56.000;
4ème Cartilage costal;430.714;106.078;33.000;
4ème Cartilage costal;416.114;106.078;34.000;
7ème Cartilage costal;516.852;94.398;45.000;
8ème Cartilage costal;550.431;104.618;45.000;
6ème Cartilage costal;446.773;75.418;46.000;
7ème Cartilage costal;505.172;85.638;46.000;
8ème Cartilage costal;551.891;101.698;46.000;
6ème Cartilage costal;440.933;75.418;47.000;
7ème Cartilage costal;500.792;91.478;47.000;
8ème Cartilage costal;544.591;100.238;47.000;
6ème Cartilage costal;429.254;72.498;48.000;
8ème Cartilage costal;541.671;98.778;48.000;
6ème Cartilage costal;404.434;76.878;49.000;
6ème Cartilage costal;400.054;78.338;50.000;
7ème Cartilage costal;480.352;82.718;50.000;
8ème Cartilage costal;537.291;94.398;50.000;
7ème Cartilage costal;449.693;85.638;55.000;
8ème Cartilage costal;512.472;88.558;55.000;
7ème Cartilage costal;442.393;92.938;57.000;
8ème Cartilage costal;503.712;85.638;57.000;
7ème Cartilage costal;439.473;87.098;58.000;
7ème Cartilage costal;430.714;90.018;59.000;
7ème Cartilage costal;416.114;91.478;60.000;
7ème Cartilage costal;388.374;92.938;61.000;
7ème Cartilage costal;375.235;94.398;62.000;
7ème Cartilage costal;370.855;98.778;63.000;
8ème Cartilage costal;378.155;100.238;65.000;
8ème Cartilage costal;496.412;78.338;58.000;
8ème Cartilage costal;492.032;81.258;59.000;
8ème Cartilage costal;481.812;79.798;60.000;
8ème Cartilage costal;480.352;78.338;61.000;
8ème Cartilage costal;474.513;75.418;62.000;
8ème Cartilage costal;464.293;69.578;63.000;
8ème Cartilage costal;328.516;111.918;66.000;
8ème Cartilage costal;325.596;108.998;67.000;
8ème Cartilage costal;316.836;110.458;68.000;
8ème Cartilage costal;312.456;111.918;69.000;
8ème Cartilage costal;335.816;97.318;70.000;
