label;x;y;Frame;
Art. costo-corporeale;556.271;341.133;53.000;
Art. costo-corporeale;554.811;338.213;52.000;
Art. xyphosternale;581.090;590.787;2.000;
Art. Costo-Transversaire;499.482;413.419;62.000;
Art. Sterno-claviculaire;642.409;195.136;20.000;
1ère art. Sterno-costale;470.133;244.775;18.000;
1ère art. Sterno-costale;473.053;250.615;17.000;
1ère art. Sterno-costale;480.352;252.075;16.000;
1ère art. Sterno-costale;474.513;260.834;15.000;
2ème arti. Sterno-costale;505.172;298.794;12.000;
2ème arti. Sterno-costale;516.852;309.013;11.000;
2ème arti. Sterno-costale;528.531;320.693;10.000;
2ème arti. Sterno-costale;529.991;330.913;9.000;
3ème arti. Sterno-costale;503.712;361.572;7.000;
3ème arti. Sterno-costale;506.632;364.492;6.000;
3ème arti. Sterno-costale;506.632;367.412;5.000;
