label;x;y;Frame;
Disque T4-T5;601.643;274.243;45.000;
Disque T4-T5;600.163;269.802;46.000;
Disque T4-T5;603.124;269.802;47.000;
Disque T4-T5;597.201;262.399;48.000;
Disque T4-T5;601.643;260.918;49.000;
Disque T3-T4;591.279;210.578;42.000;
1er cartilage costal;433.633;225.795;22.000;
1er cartilage costal;448.233;247.695;21.000;
1er cartilage costal;456.993;252.075;20.000;
1er cartilage costal;449.693;244.775;19.000;
8ème Cartilage costale;548.749;615.654;0.000;
7ème Cartilage costale;456.788;714.973;0.000;
