label;x;y;Frame;
Angle sternal;342.847;323.363;38.000;
Angle sternal;341.305;323.363;37.000;
Angle sternal;342.847;324.906;36.000;
Angle sternal;341.305;318.736;35.000;
Angle sternal;341.305;318.736;34.000;
Angle sternal;333.592;323.363;33.000;
Angle sternal;335.135;323.363;32.000;
Art. Sterno-Claviculaire Dte;448.233;236.015;28.000;
ArtSag;452.613;228.715;29.000;
1ère Art. Sterno-Costale;414.654;262.294;28.000;
2ème Art. Sterno-Costale;354.795;323.613;31.000;
Art. Xypho-Sternal;251.137;590.787;34.000;
Art. Xypho-Sternal;246.757;587.867;35.000;
Art. Xypho-Sternal;256.977;599.547;36.000;
Art. Costo-Transversaire;874.544;425.811;32.000;
Art. Costo-Corporéale;661.389;108.998;31.000;
