label;x;y;Frame;
1er cartilage costal;454.073;224.335;24.000;
1er cartilage costal;435.396;238.527;25.000;
1er cartilage costal;432.311;244.697;26.000;
1er cartilage costal;429.226;241.612;27.000;
2ème cartilage costal;375.239;306.396;25.000;
2ème cartilage costal;365.984;307.938;26.000;
2ème cartilage costal;362.899;318.736;27.000;
2ème cartilage costal;358.272;314.108;28.000;
2ème cartilage costal;355.187;317.193;29.000;
2ème cartilage costal;347.475;324.906;30.000;
2ème cartilage costal;345.932;326.448;31.000;
3ème cartilage costal;311.998;365.010;23.000;
3ème cartilage costal;311.998;361.925;24.000;
3ème cartilage costal;310.455;368.095;25.000;
3ème cartilage costal;305.828;368.095;26.000;
3ème cartilage costal;301.200;368.095;27.000;
3ème cartilage costal;301.200;366.553;28.000;
3ème cartilage costal;299.658;368.095;29.000;
3ème cartilage costal;296.573;369.638;30.000;
4ème cartilage costal;262.638;446.761;22.000;
4ème cartilage costal;256.468;448.304;23.000;
4ème cartilage costal;253.383;445.219;24.000;
4ème cartilage costal;239.501;442.134;25.000;
4ème cartilage costal;239.501;442.134;26.000;
4ème cartilage costal;231.789;434.422;27.000;
4ème cartilage costal;231.789;428.252;28.000;
4ème cartilage costal;236.416;426.709;29.000;
Disque T3-T4;725.545;207.042;33.000;
Disque T3-T4;721.928;207.042;34.000;
Disque T3-T4;711.075;210.659;35.000;
Disque T3-T4;711.075;210.659;36.000;
Disque T3-T4;712.281;207.042;37.000;
Disque T3-T4;720.722;204.630;38.000;
Disque T4-T5;754.487;272.160;34.000;
Disque T4-T5;747.251;274.572;35.000;
Disque T4-T5;740.016;276.984;36.000;
Disque T4-T5;741.222;273.366;37.000;
Disque T4-T5;752.075;269.748;38.000;
Disque T4-T5;753.281;269.748;39.000;
