label;x;y;Frame;
Scapula Dte;792.786;373.252;0.000;
Glene Dte;779.646;202.436;2.000;
Tete humerale Dte;762.126;145.497;2.000;
Epine de la scapula Dte;896.443;180.536;2.000;
Epine de la scapula Dte;878.924;114.838;0.000;
Epine de la scapula Dte;864.324;240.395;4.000;
Epine de la scapula Dte;896.443;170.316;1.000;
Epine de la scapula Dte;884.764;209.735;3.000;
Epine de la scapula Dte;889.144;246.235;5.000;
Epine de la scapula Dte;916.883;243.315;6.000;
Epine de la scapula Dte;937.323;250.615;7.000;
T1;620.509;59.359;36.000;
T1;616.130;60.819;35.000;
T1;616.130;63.739;34.000;
T1;616.130;63.739;33.000;
T1;627.809;60.819;32.000;
T1;621.969;57.899;37.000;
T2;664.308;117.757;32.000;
T2;659.929;117.757;33.000;
T2;651.169;122.137;34.000;
T2;649.709;125.057;35.000;
T2;654.089;114.838;36.000;
T2;657.009;113.378;37.000;
T3;706.872;182.998;33.000;
T3;697.888;179.076;34.000;
T3;696.428;179.076;35.000;
T3;689.128;183.456;36.000;
T3;694.968;180.536;37.000;
T4;737.307;246.235;34.000;
T4;735.847;247.695;35.000;
T4;722.707;244.775;36.000;
T4;722.707;244.775;37.000;
T4;730.009;240.069;38.000;
T5;779.646;301.714;34.000;
T5;757.746;307.553;35.000;
T5;760.666;317.773;36.000;
T5;759.206;317.773;37.000;
T5;760.666;311.933;38.000;
T5;778.186;307.553;39.000;
T6;811.761;378.892;34.000;
T6;788.406;386.392;35.000;
T6;782.566;384.932;36.000;
T6;781.106;384.932;37.000;
T6;781.106;384.932;38.000;
T6;800.086;384.932;39.000;
T12;750.447;888.621;40.000;
T12;747.527;879.861;39.000;
T12;738.767;884.241;38.000;
T12;738.767;885.701;37.000;
T12;732.927;885.701;36.000;
T12;732.927;881.321;35.000;
T12;747.527;881.321;34.000;
T12;748.987;881.321;33.000;
T12;765.046;885.701;32.000;
Acromion Gche;760.666;24.319;70.000;
Clavicule Gche;769.426;47.679;68.000;
Clavicule Gche;763.586;53.519;67.000;
Clavicule Gche;763.586;53.519;66.000;
Clavicule Gche;765.046;65.199;65.000;
Clavicule Gche;753.367;69.578;64.000;
Clavicule Gche;750.447;73.958;63.000;
Clavicule Gche;732.927;73.958;62.000;
Clavicule Gche;727.087;76.878;61.000;
Clavicule Gche;715.407;81.258;60.000;
Clavicule Gche;700.808;81.258;59.000;
Clavicule Gche;680.368;88.558;58.000;
Clavicule Gche;654.089;84.178;57.000;
Clavicule Gche;626.349;84.178;56.000;
Clavicule Gche;611.750;85.638;55.000;
Clavicule Gche;584.010;90.018;54.000;
Clavicule Gche;567.951;98.778;53.000;
Clavicule Gche;554.811;101.698;52.000;
Clavicule Gche;535.831;107.538;51.000;
Clavicule Gche;538.751;110.458;50.000;
Clavicule Gche;528.531;117.757;49.000;
Clavicule Gche;512.472;129.437;48.000;
Clavicule Gche;506.632;132.357;47.000;
Clavicule Gche;499.332;138.197;46.000;
Clavicule Gche;493.492;148.417;45.000;
Clavicule Gche;480.352;152.797;44.000;
Clavicule Gche;478.892;160.097;43.000;
Clavicule Gche;474.513;165.936;42.000;
Clavicule Dte;475.973;183.456;41.000;
Clavicule Dte;484.732;177.616;40.000;
Clavicule Dte;821.985;76.878;4.000;
Clavicule Dte;816.145;82.718;5.000;
Clavicule Dte;813.225;88.558;6.000;
Clavicule Dte;803.005;90.018;7.000;
Clavicule Dte;795.706;97.318;8.000;
Clavicule Dte;786.946;100.238;9.000;
Clavicule Dte;762.126;103.158;10.000;
Clavicule Dte;743.147;103.158;11.000;
Clavicule Dte;730.007;101.698;12.000;
Clavicule Dte;693.508;106.078;13.000;
Clavicule Dte;645.329;106.078;14.000;
Clavicule Dte;613.210;106.078;15.000;
Clavicule Dte;586.930;106.078;16.000;
Clavicule Dte;569.411;108.998;17.000;
Clavicule Dte;548.971;119.217;18.000;
Clavicule Dte;531.451;122.137;19.000;
Clavicule Dte;522.692;126.517;20.000;
Clavicule Dte;515.392;135.277;21.000;
Clavicule Dte;506.632;142.577;22.000;
Clavicule Dte;494.952;145.497;23.000;
Clavicule Dte;492.032;151.337;24.000;
Clavicule Dte;484.732;163.016;25.000;
Clavicule Dte;478.892;177.616;26.000;
Clavicule Dte;470.133;189.296;27.000;
Clavicule Dte;468.673;200.976;28.000;
Clavicule Dte;477.432;202.436;29.000;
Clavicule Dte;820.525;79.798;3.000;
1ère Côte Dte;632.189;95.858;21.000;
1ère Côte Dte;505.172;193.676;22.000;
1ère Côte Dte;490.572;211.195;23.000;
1ère Côte Dte;632.189;106.078;20.000;
1ère Côte Dte;613.210;135.277;19.000;
2ème Côte Dte;639.489;205.356;13.000;
2ème Côte Dte;627.809;199.516;14.000;
2ème Côte Dte;680.368;167.396;15.000;
2ème Côte Dte;693.508;152.797;16.000;
2ème Côte Dte;700.808;141.117;17.000;
2ème Côte Dte;713.947;127.977;18.000;
2ème Côte Dte;718.327;114.838;19.000;
2ème Côte Dte;715.407;101.698;20.000;
2ème Côte Dte;713.947;95.858;21.000;
2ème Côte Dte;712.487;90.018;22.000;
2ème Côte Dte;711.027;81.258;23.000;
2ème Côte Dte;703.728;81.258;24.000;
2ème Côte Dte;702.268;76.878;25.000;
2ème Côte Dte;694.968;81.258;26.000;
Tubercule 2ème Côte Dte;684.748;82.718;27.000;
Col 2ème  Côte Dte;677.448;91.478;28.000;
Col 2ème  Côte Dte;667.228;97.318;29.000;
Tête 2ème Côte Dte;654.089;107.538;30.000;
3ème Côte Dte;624.889;279.814;9.000;
4ème Côte Dte;602.990;345.513;7.000;
5ème Côte Dte;595.690;396.611;7.000;
6ème Côte Dte;601.530;452.090;7.000;
7ème Côte Dte;551.891;557.208;7.000;
8ème Côte Dte;505.172;713.425;7.000;
8ème Côte Dte;529.991;676.925;8.000;
8ème Côte Dte;373.775;818.542;9.000;
8ème Côte Dte;696.428;571.808;9.000;
8ème Côte Dte;316.836;875.481;11.000;
8ème Côte Dte;786.946;650.646;11.000;
8ème Côte Dte;816.145;641.886;12.000;
9ème Côte Dte;528.531;815.622;6.000;
9ème Côte Dte;598.610;758.684;7.000;
9ème Côte Dte;673.068;704.665;8.000;
9ème Côte Dte;716.867;675.465;9.000;
10ème Côte Dte;728.547;798.103;8.000;
10ème Côte Dte;678.908;825.842;7.000;
10ème Côte Dte;751.907;780.583;9.000;
10ème Côte Dte;778.186;763.064;10.000;
10ème Côte Dte;803.005;755.764;11.000;
11ème Côte Dte;788.406;884.241;11.000;
11ème Côte Dte;810.305;872.561;12.000;
11ème Côte Dte;823.445;865.261;13.000;
11ème Côte Dte;836.585;852.122;14.000;
11ème Côte Dte;846.805;840.442;15.000;
11ème Côte Dte;855.564;834.602;16.000;
11ème Côte Dte;864.324;833.142;17.000;
8ème Côte Dte;843.885;519.249;13.000;
7ème Côte Dte;880.384;419.971;15.000;
7ème Côte Dte;862.864;422.891;14.000;
6ème Côte Dte;876.004;341.133;16.000;
6ème Côte Dte;884.764;329.453;17.000;
Manubrium sternal;412.259;250.867;33.000;
1er cartilage costal;454.073;224.335;24.000;
1er cartilage costal;435.396;238.527;25.000;
1er cartilage costal;432.311;244.697;26.000;
1er cartilage costal;429.226;241.612;27.000;
Manubrium Sternal;427.684;250.867;28.000;
Manubrium Sternal;415.344;255.494;29.000;
Manubrium Sternal;413.801;255.494;30.000;
Manubrium Sternal;413.801;255.494;31.000;
Manubrium Sternal;409.174;246.239;32.000;
Manubrium Sternal;403.004;246.239;34.000;
Manubrium Sternal;407.631;250.867;35.000;
Manubrium Sternal;406.089;249.324;36.000;
Manubrium Sternal;407.631;247.782;37.000;
Manubrium Sternal;406.089;250.867;38.000;
Manubrium Sternal;406.089;250.867;39.000;
Manubrium Sternal;410.716;252.409;40.000;
Manubrium Sternal;419.971;246.239;41.000;
Corps sternal;267.266;397.402;31.000;
Corps sternal;268.808;398.945;32.000;
Corps sternal;268.808;405.115;33.000;
Corps sternal;268.808;406.657;34.000;
Corps sternal;270.351;406.657;35.000;
Corps sternal;270.351;409.742;36.000;
Corps sternal;270.351;409.742;37.000;
Corps sternal;270.351;409.742;38.000;
Corps sternal;270.351;409.742;39.000;
Appendice Xyphoide;253.383;634.944;34.000;
Appendice Xyphoide;253.383;638.029;35.000;
Appendice Xyphoide;258.011;658.081;36.000;
Processus épineux T4;836.440;226.187;36.000;
Pédicule vértebral T4;782.454;209.220;38.000;
Lame vertébrale T4;811.761;207.677;37.000;
Lame vertébrale T4;824.101;218.475;35.000;
Lame vertébrale T4;810.218;215.390;34.000;
Lame vertébrale T4;794.793;210.762;33.000;
Pédicule T5;807.133;277.089;38.000;
Tête 7ème Côte;851.865;408.200;33.000;
Apophyse transverse T7;884.257;442.134;33.000;
2ème cartilage costal;375.239;306.396;25.000;
2ème cartilage costal;365.984;307.938;26.000;
2ème cartilage costal;362.899;318.736;27.000;
2ème cartilage costal;358.272;314.108;28.000;
2ème cartilage costal;355.187;317.193;29.000;
2ème cartilage costal;347.475;324.906;30.000;
2ème cartilage costal;345.932;326.448;31.000;
3ème cartilage costal;311.998;365.010;23.000;
3ème cartilage costal;311.998;361.925;24.000;
3ème cartilage costal;310.455;368.095;25.000;
3ème cartilage costal;305.828;368.095;26.000;
3ème cartilage costal;301.200;368.095;27.000;
3ème cartilage costal;301.200;366.553;28.000;
3ème cartilage costal;299.658;368.095;29.000;
3ème cartilage costal;296.573;369.638;30.000;
4ème cartilage costal;262.638;446.761;22.000;
4ème cartilage costal;256.468;448.304;23.000;
4ème cartilage costal;253.383;445.219;24.000;
4ème cartilage costal;239.501;442.134;25.000;
4ème cartilage costal;239.501;442.134;26.000;
4ème cartilage costal;231.789;434.422;27.000;
4ème cartilage costal;231.789;428.252;28.000;
4ème cartilage costal;236.416;426.709;29.000;
Angle sternal;342.847;323.363;38.000;
Angle sternal;341.305;323.363;37.000;
Angle sternal;342.847;324.906;36.000;
Angle sternal;341.305;318.736;35.000;
Angle sternal;341.305;318.736;34.000;
Angle sternal;333.592;323.363;33.000;
Angle sternal;335.135;323.363;32.000;
Disque T3-T4;725.545;207.042;33.000;
Disque T3-T4;721.928;207.042;34.000;
Disque T3-T4;711.075;210.659;35.000;
Disque T3-T4;711.075;210.659;36.000;
Disque T3-T4;712.281;207.042;37.000;
Disque T3-T4;720.722;204.630;38.000;
Disque T4-T5;754.487;272.160;34.000;
Disque T4-T5;747.251;274.572;35.000;
Disque T4-T5;740.016;276.984;36.000;
Disque T4-T5;741.222;273.366;37.000;
Disque T4-T5;752.075;269.748;38.000;
Disque T4-T5;753.281;269.748;39.000;
